name,born,died,Age_at_Death
Edmund Barton,1849,1920,71
Alfred Deakin,1856,1919,63
Chris Watson,1867,1941,74
George Reid,1845,1918,73
Andrew Fisher,1862,1928,66
Joseph Cook,1860,1947,87
Billy Hughes,1862,1952,90
Stanley Bruce,1883,1967,84
James Scullin,1876,1953,77
Joseph Lyons,1879,1939,60
Earle Page,1880,1961,81
Robert Menzies,1894,1978,84
Arthur Fadden,1894,1973,79
John Curtin,1885,1945,60
Frank Forde,1890,1983,93
Ben Chifley,1885,1951,66
Harold Holt,1908,1967,59
John McEwen,1900,1980,80
John Gorton,1911,2002,91
William McMahon,1908,1988,80
Gough Whitlam,1916,2014,98
Malcolm Fraser,1930,2015,85
Bob Hawke,1929,2019,90
Paul Keating,1944,NA,NA
John Howard,1939,NA,NA
Kevin Rudd,1957,NA,NA
Julia Gillard,1961,NA,NA
Tony Abbott,1957,NA,NA
Malcolm Turnbull,1954,NA,NA
Scott Morrison,1968,NA,NA
Anthony Albanese,1963,NA,NA
